id,title,organization,type,category,description,deadline,location,amount,currency,regions,topics,application_url,status,featured,is_guatemala,is_closing_soon
1,Fondo de Innovación Cívica 2026,Luminate Foundation,grant,funding,"Apoyo financiero para organizaciones que trabajan en transparencia, rendición de cuentas y participación ciudadana en América Latina. Montos de $50k a $150k USD.",2026-05-15,Regional,"50000-150000",USD,"Guatemala,Centroamérica,América Latina","Transparencia,Civic Tech,Participación Ciudadana",https://example.com/apply,open,true,true,false
2,Beca de Periodismo de Datos,ICFJ,fellowship,training,"Programa de 6 meses para periodistas latinoamericanos interesados en desarrollar proyectos de periodismo de datos e investigación. Incluye mentoría y $8k USD.",2026-04-30,Remoto,8000,USD,"América Latina","Periodismo,Datos Abiertos,Investigación",https://example.com/apply,open,true,false,true
3,Consultoría: Implementación de Datos Abiertos,Gobierno de Guatemala,consultancy,work,"Se busca consultor/a para diseñar e implementar estrategia de datos abiertos en municipalidad. Contrato de 6 meses, Q120k.",2026-04-10,Guatemala,120000,GTQ,Guatemala,"Datos Abiertos,Gobierno Digital,Innovación Pública",https://example.com/apply,open,false,true,true
4,Aceleradora de Startups Cívicas,BID Lab,accelerator,funding,"Programa de aceleración de 4 meses para emprendimientos de impacto social y tecnología cívica. Inversión de hasta $75k USD más mentoría.",2026-06-01,Híbrido,75000,USD,"Centroamérica,México","Civic Tech,Innovación Social,Emprendimiento",https://example.com/apply,open,true,false,false
5,Premio Latinoamericano de Innovación Pública,CAF,award,recognition,"Reconocimiento a proyectos de innovación en el sector público. Tres categorías con premios de $15k, $10k y $5k USD.",2026-05-20,Regional,"5000-15000",USD,"América Latina","Innovación Pública,Gobierno Digital,Modernización",https://example.com/apply,open,true,false,false
6,Hackathon: Transparencia en Contrataciones,Red Ciudadana,hackathon,event,"Competencia de 48 horas para desarrollar herramientas que mejoren la transparencia en contrataciones públicas. Premios totales: Q50k.",2026-04-25,Guatemala Ciudad,50000,GTQ,Guatemala,"Transparencia,Anticorrupción,Open Data",https://example.com/apply,open,true,true,true
7,Programa de Fellows en Tecnología Cívica,Code for All,fellowship,training,"Programa de inmersión de 3 meses en organizaciones de tecnología cívica globales. Incluye estipendio mensual de $2k USD.",2026-05-10,Remoto,6000,USD,Global,"Civic Tech,Tecnología,Innovación",https://example.com/apply,open,true,false,false
8,Fondo para Medios Digitales Independientes,Google News Initiative,grant,funding,"Apoyo para medios digitales que trabajan en periodismo de investigación y fact-checking. Grants de $20k a $100k USD.",2026-06-15,Regional,"20000-100000",USD,"América Latina","Periodismo,Medios Digitales,Fact-checking",https://example.com/apply,open,false,false,false
9,Consultoría en Gobierno Abierto,OEA,consultancy,work,"Consultor/a para apoyar diseño de plan de acción de gobierno abierto en Guatemala. Honorarios: $25k USD por 4 meses.",2026-04-20,Guatemala,25000,USD,Guatemala,"Gobierno Abierto,Transparencia,Participación",https://example.com/apply,open,false,true,true
10,Curso: Análisis de Datos para Políticas Públicas,CEPAL,training,education,"Curso virtual de 8 semanas sobre uso de datos para diseño de políticas públicas. Certificado oficial, sin costo.",2026-04-28,Online,0,USD,"América Latina","Datos,Políticas Públicas,Capacitación",https://example.com/apply,open,false,false,true
11,Convocatoria de Investigación en Democracia Digital,FLACSO,research,funding,"Apoyo para proyectos de investigación sobre democracia digital y participación ciudadana. Fondos de $8k a $15k USD.",2026-05-30,Regional,"8000-15000",USD,"Centroamérica,América Latina","Democracia,Participación,Investigación",https://example.com/apply,open,false,false,false
12,Beca de Liderazgo en Innovación Social,Ashoka,fellowship,training,"Programa de desarrollo de liderazgo para emprendedores sociales emergentes. Incluye red global y $10k USD.",2026-06-10,Híbrido,10000,USD,Global,"Liderazgo,Innovación Social,Emprendimiento",https://example.com/apply,open,false,false,false
