id,nombre,descripcion,institucion,categoria,modalidad,nivel_digital,tiempo_estimado,costo,ubicacion,requisitos,pasos,tags,para_emprendedores,vistas,url_oficial
TRM001,Licencia de Construcción,Permiso para construcción de viviendas y edificaciones nuevas o remodelaciones mayores,Municipalidad de Guatemala,Construcción y Vivienda,Presencial,Parcialmente Digital,30-45 días hábiles,500,"Dirección de Planificación Urbana, 21 calle 6-77 zona 1","DPI del propietario|Escritura del inmueble|Planos arquitectónicos firmados|Planos estructurales|Estudio de suelos|Solvencia de IUSI","Presentar documentos en ventanilla|Pago de tasa municipal|Revisión técnica por departamento|Inspección de campo|Emisión de licencia","construcción|permisos|edificación|arquitectura|urbanismo",true,1250,https://muniguate.gob.gt
TRM002,Patente de Comercio,Inscripción de empresas individuales o sociedades mercantiles en el Registro Mercantil,Registro Mercantil,Empresarial,Presencial,Análogo,15-20 días hábiles,175,"Registro Mercantil, 7a Av 7-61 zona 4","Testimonio de escritura de constitución|DPI del representante legal|Formulario de solicitud|Recibo de pago de arancel|Publicación en Diario Oficial","Presentar escritura de constitución|Pago de arancel registral|Asignación de número de registro|Publicación en Diario Oficial|Emisión de patente","empresa|registro|comercio|negocio|mercantil",true,2100,https://registromercantil.gob.gt
TRM003,NIT - Número de Identificación Tributaria,Registro de contribuyentes ante la SAT para personas individuales y jurídicas,SAT - Superintendencia de Administración Tributaria,Tributario,En línea,100% Digital,1-3 días hábiles,0,Portal web SAT - Agencia Virtual,"DPI vigente|Recibo de servicio (luz, agua o teléfono)|Correo electrónico|Número de teléfono","Crear usuario en Portal SAT|Llenar formulario de inscripción|Adjuntar documentos digitalizados|Validación automática|Descarga de constancia de NIT","tributario|impuestos|SAT|registro|fiscal",true,5600,https://portal.sat.gob.gt
TRM004,Pasaporte Guatemalteco,Emisión de pasaporte ordinario para ciudadanos guatemaltecos,DIGconsular - Ministerio de Relaciones Exteriores,Identificación,Presencial,Parcialmente Digital,10-15 días hábiles,150,"Oficinas DIGCONSULAR en Ciudad de Guatemala, Quetzaltenango y Cobán","DPI vigente|Partida de nacimiento certificada|Foto reciente tamaño pasaporte|Comprobante de pago","Solicitar cita en línea|Presentarse con documentos|Toma de datos biométricos|Pago de tarifa|Retiro de pasaporte en oficina","pasaporte|viajes|identificación|migración|documentos",false,3800,https://www.minex.gob.gt
TRM005,Licencia de Conducir Tipo A,Licencia para conducir vehículos livianos (automóviles, pick-ups, paneles),DGTV - Dirección General de Tránsito y Vialidad,Transporte,Presencial,Análogo,5-10 días hábiles,50,"Oficinas de DGTV en todo el país","DPI original y fotocopia|Certificado médico (DGTV)|Examen de la vista|Constancia de tipo de sangre|Fotografías tamaño cédula","Presentar documentos|Realizar examen médico|Examen de la vista|Examen teórico|Examen práctico de manejo|Pago y emisión","licencia|conducir|vehículos|tránsito|manejo",false,4200,https://dgt.gob.gt
TRM006,Certificado de Antecedentes Penales,Documento que certifica si una persona tiene o no antecedentes penales,Organismo Judicial - Dirección de Archivo Judicial,Legal,Presencial,Parcialmente Digital,1-2 días hábiles,25,"Torre de Tribunales, Edificio de Archivo Judicial 9a calle y 21 av. zona 1","DPI original|Formulario de solicitud|Recibo de pago","Solicitar en línea o presencial|Pago en bancos autorizados|Presentar DPI y recibo|Toma de huellas dactilares|Entrega de certificado","antecedentes|penales|judicial|certificado|legal",false,6700,https://oj.gob.gt
TRM007,Registro de Marca Comercial,Protección legal de marcas comerciales, nombres comerciales y lemas,Registro de la Propiedad Intelectual,Empresarial,Presencial,Parcialmente Digital,90-120 días hábiles,450,"Registro de la Propiedad Intelectual, 18 Av. 5-56 zona 15","Formulario de solicitud|Logo o diseño de marca|Listado de productos/servicios|DPI del solicitante|Comprobante de pago|Poder si usa abogado","Búsqueda de antecedentes|Presentar solicitud|Publicación en Diario Oficial|Período de oposición (30 días)|Examen de fondo|Emisión de certificado","marca|propiedad intelectual|registro|comercio|protección",true,1890,https://rpi.gob.gt
TRM008,Afiliación al IGSS,Inscripción de trabajadores al seguro social guatemalteco,IGSS - Instituto Guatemalteco de Seguridad Social,Laboral,En línea,100% Digital,1-3 días hábiles,0,Portal web IGSS - Patronos en línea,"DPI del trabajador|Datos del patrono|Contrato de trabajo|Salario mensual|Fecha de ingreso","Ingresar a portal patronos|Crear usuario empresarial|Ingresar datos del trabajador|Asignar salario y puesto|Generar número de afiliación|Imprimir carné provisional","IGSS|seguro social|afiliación|trabajo|laboral",true,3500,https://igssgt.org
TRM009,Permiso de Importación Temporal,Autorización para importar temporalmente mercancías al territorio nacional,SAT - Superintendencia de Administración Tributaria,Aduanero,En línea,100% Digital,2-5 días hábiles,0,Portal VUCE - Ventanilla Única del Comercio Exterior,"Registro como importador en SAT|Factura comercial|Packing list|Conocimiento de embarque|Carta de motivo de importación temporal","Ingresar a portal VUCE|Crear solicitud de importación|Adjuntar documentos|Pago de aranceles (si aplica)|Aprobación automática o revisión|Descarga de DUA","importación|aduanas|comercio exterior|SAT|temporal",true,980,https://vuce.gob.gt
TRM010,Inscripción de Nacimiento,Registro de nacimientos ante el RENAP para obtener certificado de nacimiento,RENAP - Registro Nacional de las Personas,Identificación,Presencial,Análogo,1-5 días hábiles,0,"Oficinas RENAP en hospitales y municipalidades de todo el país","Constancia de nacimiento del hospital|DPI de los padres|Partida de matrimonio (si aplica)|Testigos con DPI","Presentar constancia de nacimiento|Declaración de los padres|Registro de datos|Asignación de CUI|Emisión de certificado de nacimiento","nacimiento|registro civil|RENAP|certificado|identificación",false,5200,https://renap.gob.gt
TRM011,Permiso Sanitario de Funcionamiento,Autorización para establecimientos que manejan alimentos y bebidas,Ministerio de Salud - Departamento de Regulación,Salud,Presencial,Parcialmente Digital,15-30 días hábiles,350,"Área de Salud correspondiente a la ubicación del negocio","DPI del propietario|Patente de comercio|Planos del local|Lista de equipamiento|Capacitación en manipulación de alimentos|Análisis de agua potable","Solicitar inspección inicial|Corregir observaciones|Capacitación de personal|Análisis de agua|Inspección final|Emisión de permiso","sanitario|alimentos|restaurante|salud|permiso",true,2750,https://mspas.gob.gt
TRM012,Licencia Ambiental Categoría B,Evaluación ambiental para proyectos de bajo impacto ambiental,MARN - Ministerio de Ambiente y Recursos Naturales,Ambiental,Presencial,Parcialmente Digital,45-60 días hábiles,800,"MARN, 20 calle 28-58 zona 10","Estudio de Evaluación Ambiental|Escritura del inmueble|Planos del proyecto|Licencia municipal|DPI del representante legal|Recibo de pago","Presentar estudio ambiental|Revisión técnica por MARN|Visita de inspección|Período de información pública|Resolución favorable|Emisión de licencia","ambiental|MARN|licencia|evaluación|medio ambiente",true,1150,https://marn.gob.gt
TRM013,Certificado de Carencia de Antecedentes Policiales,Documento que certifica que una persona no tiene antecedentes policiales,PNC - Policía Nacional Civil,Legal,Presencial,Análogo,1-3 días hábiles,20,"Oficinas de PNC en departamentos principales","DPI original y copia|Fotografías recientes tamaño cédula|Formulario de solicitud|Recibo de pago","Solicitar en oficina PNC|Pago en caja|Toma de huellas dactilares|Revisión en sistema|Emisión de certificado","antecedentes|policía|certificado|legal|PNC",false,4800,https://pnc.gob.gt
TRM014,Solvencia Fiscal,Documento que certifica que el contribuyente está al día con sus obligaciones tributarias,SAT - Superintendencia de Administración Tributaria,Tributario,En línea,100% Digital,Inmediato,0,Portal Agencia Virtual SAT,"Estar inscrito en SAT|Usuario de Agencia Virtual|Estar al día en declaraciones|No tener deudas tributarias","Ingresar a Agencia Virtual|Ir a sección Solvencias|Solicitar solvencia fiscal|Descarga inmediata de PDF","solvencia|SAT|tributario|fiscal|impuestos",true,8900,https://portal.sat.gob.gt
TRM015,Inscripción en el Padrón Electoral,Registro de ciudadanos para ejercer el derecho al voto,TSE - Tribunal Supremo Electoral,Cívico,Presencial,Análogo,15-30 días hábiles,0,"Delegaciones del TSE en todo el país","DPI vigente|Constancia de residencia|Mayor de 18 años","Presentarse en delegación TSE|Llenar formulario de inscripción|Verificación de datos|Asignación de mesa electoral|Emisión de constancia","voto|electoral|TSE|elecciones|cívico",false,2100,https://tse.gob.gt
TRM016,Permiso de Trabajo para Extranjeros,Autorización para que ciudadanos extranjeros puedan trabajar legalmente en Guatemala,Ministerio de Trabajo y Previsión Social,Laboral,Presencial,Parcialmente Digital,30-45 días hábiles,250,"Ministerio de Trabajo, 7a Av. 3-33 zona 9","Pasaporte vigente|Orden de trabajo (oferta laboral)|Contrato de trabajo|Antecedentes penales de país de origen|Certificado médico|Solvencia de migración","Presentar solicitud|Adjuntar documentos requeridos|Revisión por Departamento Legal|Inspección laboral|Resolución ministerial|Emisión de permiso","trabajo|extranjeros|laboral|permiso|migración",false,680,https://mintrabajo.gob.gt
TRM017,Registro de Exportador,Inscripción en el registro de exportadores ante VUCE,VUCE - Ventanilla Única del Comercio Exterior,Aduanero,En línea,100% Digital,3-5 días hábiles,0,Portal VUCE,"Estar inscrito en SAT|Patente de comercio|DPI del representante legal|Correo electrónico","Crear usuario en VUCE|Llenar formulario de registro|Adjuntar documentos digitalizados|Validación automática|Activación de usuario exportador","exportación|VUCE|comercio exterior|aduanas|exportador",true,1450,https://vuce.gob.gt
TRM018,Certificado Veterinario de Exportación,Documento sanitario para exportación de productos de origen animal,MAGA - Ministerio de Agricultura,Agropecuario,Presencial,Parcialmente Digital,5-10 días hábiles,150,"MAGA - Dirección de Sanidad Animal, 7a Av. 12-90 zona 13","Registro como exportador|Análisis de laboratorio|Certificado de origen|Factura comercial|Guía de movilización","Solicitar inspección|Análisis de laboratorio|Revisión sanitaria|Inspección de producto|Emisión de certificado","veterinario|exportación|MAGA|sanidad|agropecuario",true,420,https://maga.gob.gt
TRM019,Licencia Sanitaria para Productos Cosméticos,Registro de productos cosméticos para comercialización,Ministerio de Salud - Departamento de Regulación,Salud,Presencial,Análogo,60-90 días hábiles,500,"Departamento de Regulación y Control de Productos, 6a Av. 3-45 zona 11","Fórmula del producto|Análisis microbiológico|Etiqueta del producto|Ficha técnica|Certificado de libre venta del país de origen|DPI del responsable técnico","Presentar documentos|Análisis de laboratorio|Revisión técnica|Inspección de bodega|Resolución favorable|Emisión de licencia","cosméticos|sanitario|productos|salud|licencia",true,890,https://mspas.gob.gt
TRM020,Inscripción de Vehículo,Registro de vehículos nuevos o usados ante la SAT,SAT - Superintendencia de Administración Tributaria,Transporte,Presencial,Parcialmente Digital,5-10 días hábiles,300,"Agencias autorizadas de SAT en todo el país","Factura de compra|DPI del propietario|Póliza de seguro|Revisión técnica vehicular|Certificado de origen (vehículos nuevos)|Declaración de importación (usados)","Presentar documentos en agencia|Pago de impuestos|Asignación de placa|Emisión de tarjeta de circulación|Entrega de placas","vehículo|inscripción|placas|SAT|transporte",false,3200,https://portal.sat.gob.gt
TRM021,Certificado Fitosanitario de Exportación,Documento que certifica que productos vegetales cumplen normas fitosanitarias,MAGA - Ministerio de Agricultura,Agropecuario,Presencial,Parcialmente Digital,3-7 días hábiles,100,"MAGA - Dirección de Sanidad Vegetal, 7a Av. 12-90 zona 13","Registro como exportador|Análisis de laboratorio|Certificado de origen|Factura comercial|Tratamiento fitosanitario (si aplica)","Solicitar inspección|Análisis fitosanitario|Revisión de producto|Tratamiento si es necesario|Emisión de certificado","fitosanitario|exportación|MAGA|agricultura|vegetal",true,750,https://maga.gob.gt
TRM022,Constancia de Estudios Universitarios,Certificación de estudios cursados en universidad guatemalteca,Universidad de San Carlos de Guatemala,Educación,Presencial,Parcialmente Digital,5-10 días hábiles,50,"Secretaría de cada Facultad - USAC","DPI del estudiante|Solvencia de pagos|Número de carné|Pensum cerrado","Solicitar en secretaría|Verificación de récord académico|Pago de constancia|Firma de autoridades|Entrega de constancia","estudios|universidad|USAC|certificado|educación",false,2800,https://usac.edu.gt
